id,uuid,timestamp,date,coverurl,url,comment,duration,title,bonus,artist,show,videourl
582,1efc70f7-ae68-4b18-953f-64c65f27f275,1592225768960,15th June 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200615_1000_Recording.mp3,"Own goals were scored at the Newcastle statueball match over the weekend. Cannibal rats are the next plague of 2020. The broadcast gets sabotaged by the D'n'B Industrial Complex again. PLUS, we review Ekula's All Night EP.\n\nTracklist:\n\nEkula - All Night (Original Mix)\nEkula - Afterparty Sunrise (Original Mix)\nEkula & CA$TLE - As I Go (Original Mix)\n",58:57:00,#070 - Monumental Zbellion,FALSE,Jimmy Budd,The Jimmy Budd Experience,
583,1efc70f7-ae68-4b18-953f-64c65f27f275,1592304898416,16th Jun 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200616_1002_Recording.mp3,"It's juice, not squash.\n\nTracklist:\n\nPerverse - Sicily\nDLR - Tugboat (The Moneyshot VIP)\nIcicle & Proxima - Hyper Velocity (feat. SPMC)",01:06:41,#071 - Bangkok Morality,FALSE,Jimmy Budd,The Jimmy Budd Experience,
584,1efc70f7-ae68-4b18-953f-64c65f27f275,1592396721777,17th Jun 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200617_1000_Recording.mp3,"Introducing the great evening drink debate, and Jimmy's ongoing war against his rave playlist. Plus, more riddims from that R&S NHS release.\n\nTracklist: \n\nFauzia - Progression\nYazzus - Wonky Raver",59:57:00,"#072 - Hot, But Not Boiling",FALSE,Jimmy Budd,The Jimmy Budd Experience,
585,1efc70f7-ae68-4b18-953f-64c65f27f275,1592565009492,18th Jun 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200618_1000_Recording.mp3,"Dame Judi Dench, yes or no?\n\nTracklist:\n\nKid Lib - On My Mind\nFDotCashStarr - Thankyou (FDot Remixx)",59:40:00,"#073 - Y'all Don't Wanna Hear Chris D'Elia, You Just Wanna Biscuit",FALSE,Jimmy Budd,The Jimmy Budd Experience,
586,1efc70f7-ae68-4b18-953f-64c65f27f275,1592566634616,19th Jun 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200619_1000_Recording.mp3,"£35,000 (and rising) of student loan finally debt pays off, and we endure the rest of that Ekula EP.\n\nTracklist:\n\nEkula - All Night (Dystinkt Remix)\nEkula - Afterparty Sunrise (Benton Remix)",01:00:02,"#074 - You'll Be A Geordie, My Son",FALSE,Jimmy Budd,The Jimmy Budd Experience,
587,1efc70f7-ae68-4b18-953f-64c65f27f275,1592908671758,23rd Jun 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200623_1001_Recording.mp3,"60 minutes of breakfast banter, with one too many yawns. Essential listening.\n\nTracklist:\n\nShere Kahnn - Avril 14 (Big Booty Bootleg)\nChaos In The CBD - Similar Stories\nDJ VHS - Make Luv",58:58:00,#075 - Continental Cop Out,FALSE,Jimmy Budd,The Jimmy Budd Experience,
588,1efc70f7-ae68-4b18-953f-64c65f27f275,1593166578133,24th Jun 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200624_1000_Recording.mp3,"Food-based bants and riddims, featuring man like Matthew Herbert.\n\nTracklist:\n\nMatthew Herbert - The Truncated Life Of A Modern Industrialised Chicken\nMatthew Herbert - An Empire Of Coffee\nMatthew Herbert - Sugar\n",59:27:00,#076 - Plat du Jour,FALSE,Jimmy Budd,The Jimmy Budd Experience,
589,1efc70f7-ae68-4b18-953f-64c65f27f275,1593167001403,25th Jun 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200625_1003_Recording.mp3,F's in the chat for the goths.\n\nTracklist:\n\nSizzla - Smoke My Herbs\nSpectacular - Born In The Ghetto\nLutan Fyah & Turbulence - Criminal,56:43:00,#077 - It's A Bit George,FALSE,Jimmy Budd,The Jimmy Budd Experience,
590,1efc70f7-ae68-4b18-953f-64c65f27f275,1593167435522,26th Jun 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200626_1000_Recording.mp3,Stop being scruffy cunts.\n\nTracklist:\n\nFreddie Gibbs x The Alchemist - 1985\nConway The Machine x The Alchemist - Shoot Sideways\nWestside Gunn - Rex Ryan (feat. Conway The Machine & Roc Marciano),59:41:00,#078 - We Will Litter On The Beaches,FALSE,Jimmy Budd,The Jimmy Budd Experience,
591,1efc70f7-ae68-4b18-953f-64c65f27f275,1593520342696,29th Jun 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200629_1000_Recording_2.mp3,"It's the big six-zero for Mammy B. Featuring the virtue-signalling Twitter mafia, and the making of Air Max.\n\nTracklist:\n\nSquarepusher - Paradise Garage\nDanny Scrilla - Rigel 7 (VIP)\nSully - We're Here",59:03:00,#079 - Mother Budd's Birthday,FALSE,Jimmy Budd,The Jimmy Budd Experience,
592,1efc70f7-ae68-4b18-953f-64c65f27f275,1593521113305,30th Jun 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200630_1100_Recording.mp3,"Delving deep into the archives of Jimmy's Google Chrome. When you have over 100 tabs open, the number changes to a smiley face. Nobody should know that.\n\nTracklist:\n\nAnz - Cheer Up Love\nJoker - On My Mind\nEpoch - Who Cares",59:53:00,"#080 - Too Many Tabs, Too Many Many Tabs",FALSE,Jimmy Budd,The Jimmy Budd Experience,
593,1efc70f7-ae68-4b18-953f-64c65f27f275,1593639516795,1st Jul 20,https://threshold-app-database.s3.eu-west-2.amazonaws.com/Uniform+Artwork/Jimmy-Budd-Experience.jpg,https://testingthresholdadmin.s3.amazonaws.com/1efc70f7-ae68-4b18-953f-64c65f27f275/mp3s/20200701_1000_Recording.mp3,No phones were dropped in the making of this broadcast.\n\nTracklist:\n\nEkula - Afterparty Sunrise\nPinch & Kahn - Crossing The Line (feat. Killa's Army)\nBoofy - Perfunktion,59:17:00,#081 - At The Forefront Of Moral Justice,FALSE,Jimmy Budd,The Jimmy Budd Experience,
